Rank,Median Household Income,Zip / Population,Zip,Population
1247,"$42,500 ",95568 / 94,95568,94
1677,"$13,906 ",93528 / 79,93528,79
1340,"$39,375 ",95646 / 98,95646,98
1294,"$41,042 ",96076 / 88,96076,88
1315,"$40,341 ",94576 / 87,94576,87
1540,"$31,296 ",92266 / 62,92266,62
1582,"$28,897 ",95486 / 54,95486,54
373,"$80,729 ",92384 / 34,92384,34
149,"$102,500 ",92364 / 30,92364,30
1639,"$24,009 ",93623 / 58,93623,58
1492,"$33,333 ",96123 / 36,96123,36
1416,"$36,875 ",96071 / 77,96071,77
1466,"$34,688 ",96111 / 69,96111,69
400,"$78,750 ",96061 / 19,96061,19
1653,"$21,333 ",94950 / 74,94950,74
138,"$104,125 ",92060 / 61,92060,61
845,"$56,667 ",95720 / 60,95720,60
1683,"$11,250 ",93530 / 28,93530,28
1223,"$43,092 ","92335 / 99,580",92335,"99,580"
1209,"$43,526 ","90280 / 95,515",90280,"95,515"
1143,"$45,766 ","90250 / 95,223",90250,"95,223"
1162,"$45,197 ","90805 / 94,561",90805,"94,561"
893,"$55,051 ","92503 / 92,959",92503,"92,959"
728,"$60,899 ","91342 / 91,701",91342,"91,701"
294,"$87,425 ","92336 / 91,510",92336,"91,510"
926,"$53,559 ","92683 / 91,204",92683,"91,204"
1588,"$28,344 ","90044 / 88,412",90044,"88,412"
872,"$55,865 ","94565 / 87,395",94565,"87,395"
770,"$59,412 ","92704 / 87,121",92704,"87,121"
807,"$57,789 ","91744 / 87,096",91744,"87,096"
750,"$60,162 ","92154 / 86,740",92154,"86,740"
957,"$52,408 ","92804 / 85,969",92804,"85,969"
1167,"$44,965 ","92376 / 85,647",92376,"85,647"
844,"$56,671 ","95076 / 84,587",95076,"84,587"
1477,"$34,358 ","93307 / 84,184",93307,"84,184"
1069,"$48,891 ","91911 / 83,710",91911,"83,710"
510,"$71,825 ","91710 / 83,042",91710,"83,042"
519,"$71,505 ","94112 / 83,032",94112,"83,032"
888,"$55,210 ","93033 / 82,263",93033,"82,263"
1254,"$42,323 ","92345 / 81,049",92345,"81,049"
910,"$54,381 ","93722 / 80,455",93722,"80,455"
824,"$57,286 ","92509 / 78,221",92509,"78,221"
311,"$85,707 ","92126 / 78,201",92126,"78,201"
994,"$51,398 ","91335 / 77,952",91335,"77,952"
1004,"$51,234 ","91706 / 77,692",91706,"77,692"
1056,"$49,360 ","90706 / 77,455",90706,"77,455"
904,"$54,640 ","91910 / 76,797",91910,"76,797"
765,"$59,699 ","94544 / 76,508",94544,"76,508"
1440,"$35,985 ","90255 / 76,206",90255,"76,206"
193,"$97,609 ","91709 / 76,187",91709,"76,187"
1333,"$39,551 ","93257 / 75,390",93257,"75,390"
266,"$89,541 ","92592 / 74,558",92592,"74,558"
1371,"$38,502 ","93550 / 74,203",93550,"74,203"
1226,"$42,984 ","92553 / 73,803",92553,"73,803"
1127,"$46,394 ","93727 / 73,671",93727,"73,671"
1423,"$36,731 ","95823 / 73,641",95823,"73,641"
169,"$100,308 ","95630 / 73,356",95630,"73,356"
1230,"$42,835 ","93535 / 73,282",93535,"73,282"
218,"$94,173 ","93065 / 72,273",93065,"72,273"
1068,"$48,896 ","91766 / 71,851",91766,"71,851"
350,"$82,564 ","94587 / 71,675",94587,"71,675"
1147,"$45,591 ","93274 / 71,430",93274,"71,430"
330,"$84,488 ","94110 / 71,422",94110,"71,422"
1414,"$36,893 ","92105 / 71,334",92105,"71,334"
539,"$70,724 ","93536 / 71,313",93536,"71,313"
909,"$54,422 ","92805 / 70,839",92805,"70,839"
1352,"$39,009 ","91402 / 70,781",91402,"70,781"
243,"$92,107 ","94536 / 70,696",94536,"70,696"
1270,"$42,057 ","90262 / 70,650",90262,"70,650"
834,"$56,973 ","94533 / 70,634",94533,"70,634"
511,"$71,793 ","92882 / 70,188",92882,"70,188"
1036,"$50,047 ","92703 / 69,890",92703,"69,890"
181,"$98,899 ","95035 / 69,635",95035,"69,635"
1349,"$39,051 ","90022 / 69,516",90022,"69,516"
823,"$57,287 ","92114 / 69,305",92114,"69,305"
968,"$52,203 ","93306 / 68,910",93306,"68,910"
612,"$66,553 ","90631 / 68,899",90631,"68,899"
1125,"$46,435 ","90026 / 67,986",90026,"67,986"
487,"$72,720 ","94558 / 67,967",94558,"67,967"
1220,"$43,244 ","90019 / 67,606",90019,"67,606"
709,"$61,952 ","91730 / 66,979",91730,"66,979"
1558,"$30,016 ","90003 / 66,913",90003,"66,913"
1037,"$50,035 ","92021 / 66,854",92021,"66,854"
943,"$53,008 ","93230 / 66,316",93230,"66,316"
408,"$78,378 ","94080 / 66,002",94080,"66,002"
474,"$73,684 ","95687 / 65,781",95687,"65,781"
1252,"$42,404 ","95206 / 65,324",95206,"65,324"
189,"$98,264 ","92677 / 64,642",92677,"64,642"
253,"$90,881 ","95123 / 64,602",95123,"64,602"
541,"$70,692 ","95127 / 64,498",95127,"64,498"
1324,"$40,024 ","92201 / 63,915",92201,"63,915"
1096,"$47,672 ","92801 / 63,883",92801,"63,883"
290,"$87,652 ","94538 / 63,850",94538,"63,850"
1285,"$41,485 ","91732 / 63,849",91732,"63,849"
849,"$56,607 ","90660 / 63,686",90660,"63,686"
832,"$57,038 ","92707 / 63,595",92707,"63,595"
1373,"$38,493 ","90004 / 63,547",90004,"63,547"
891,"$55,082 ","93906 / 63,529",93906,"63,529"
1104,"$47,436 ","90640 / 63,400",90640,"63,400"
911,"$54,372 ","94509 / 63,351",94509,"63,351"
450,"$75,448 ","92562 / 63,293",92562,"63,293"
383,"$80,233 ","95624 / 63,131",95624,"63,131"
1112,"$47,078 ","91770 / 63,119",91770,"63,119"
405,"$78,564 ","94015 / 62,941",94015,"62,941"
804,"$57,895 ","94541 / 62,738",94541,"62,738"
531,"$70,935 ","94501 / 62,571",94501,"62,571"
48,"$130,961 ","95014 / 62,478",95014,"62,478"
1041,"$49,786 ","90731 / 62,348",90731,"62,348"
549,"$70,003 ","95758 / 62,099",95758,"62,099"
886,"$55,238 ","91343 / 61,976",91343,"61,976"
1232,"$42,828 ","92115 / 61,718",92115,"61,718"
1611,"$26,638 ","90037 / 61,536",90037,"61,536"
1154,"$45,439 ","95828 / 61,490",95828,"61,490"
1539,"$31,403 ","90006 / 61,419",90006,"61,419"
1334,"$39,533 ","91950 / 61,262",91950,"61,262"
806,"$57,860 ","93030 / 61,215",93030,"61,215"
160,"$101,303 ","92880 / 61,187",92880,"61,187"
993,"$51,427 ","90042 / 61,034",90042,"61,034"
831,"$57,047 ","95111 / 60,907",95111,"60,907"
1233,"$42,807 ","93905 / 60,887",93905,"60,887"
809,"$57,708 ","92627 / 60,806",92627,"60,806"
884,"$55,256 ","95608 / 60,729",95608,"60,729"
1107,"$47,369 ","93309 / 60,631",93309,"60,631"
1358,"$38,767 ","92404 / 60,501",92404,"60,501"
901,"$54,769 ","91702 / 60,475",91702,"60,475"
658,"$64,089 ","92780 / 60,438",92780,"60,438"
988,"$51,702 ","92407 / 60,118",92407,"60,118"
969,"$52,173 ","94806 / 60,101",94806,"60,101"
1544,"$31,215 ","90813 / 60,017",90813,"60,017"
847,"$56,646 ","95355 / 59,955",95355,"59,955"
721,"$61,270 ","91761 / 59,892",91761,"59,892"
465,"$74,637 ","92647 / 59,741",92647,"59,741"
348,"$82,748 ","95020 / 59,666",95020,"59,666"
322,"$84,785 ","92630 / 59,657",92630,"59,657"
753,"$60,124 ","91977 / 59,481",91977,"59,481"
840,"$56,743 ","90034 / 58,968",90034,"58,968"
758,"$59,995 ","92346 / 58,845",92346,"58,845"
307,"$86,070 ","94122 / 58,547",94122,"58,547"
576,"$68,346 ","90066 / 58,337",90066,"58,337"
1040,"$49,851 ","92020 / 58,305",92020,"58,305"
1279,"$41,578 ","90744 / 58,061",90744,"58,061"
1288,"$41,278 ","92324 / 58,013",92324,"58,013"
512,"$71,757 ","90745 / 57,727",90745,"57,727"
426,"$77,105 ","92563 / 57,605",92563,"57,605"
1591,"$28,185 ","92113 / 57,580",92113,"57,580"
820,"$57,470 ","95122 / 57,564",95122,"57,564"
1053,"$49,454 ","95112 / 57,503",95112,"57,503"
353,"$82,005 ","92708 / 57,441",92708,"57,441"
264,"$89,607 ","94513 / 56,929",94513,"56,929"
927,"$53,473 ","92027 / 56,892",92027,"56,892"
1238,"$42,698 ","92570 / 56,766",92570,"56,766"
336,"$83,974 ","93063 / 56,687",93063,"56,687"
1197,"$43,803 ","93458 / 56,514",93458,"56,514"
857,"$56,277 ","92392 / 56,461",92392,"56,461"
236,"$92,678 ","95747 / 56,415",95747,"56,415"
1482,"$34,050 ","90001 / 56,314",90001,"56,314"
225,"$93,588 ","93312 / 56,313",93312,"56,313"
710,"$61,934 ","92840 / 56,291",92840,"56,291"
1018,"$50,707 ","91762 / 56,148",91762,"56,148"
1203,"$43,707 ","91605 / 56,060",91605,"56,060"
1432,"$36,321 ","93215 / 56,028",93215,"56,028"
638,"$64,976 ","92057 / 55,618",92057,"55,618"
298,"$87,110 ","92646 / 55,505",92646,"55,505"
468,"$74,393 ","92071 / 55,362",92071,"55,362"
436,"$76,447 ","91745 / 55,237",91745,"55,237"
66,"$122,354 ","94087 / 55,229",94087,"55,229"
895,"$54,980 ","93436 / 55,176",93436,"55,176"
1293,"$41,051 ","92507 / 55,156",92507,"55,156"
875,"$55,801 ","93117 / 55,064",93117,"55,064"
1014,"$50,833 ","93291 / 54,899",93291,"54,899"
1006,"$51,116 ","92571 / 54,825",92571,"54,825"
1199,"$43,784 ","90723 / 54,813",90723,"54,813"
679,"$63,173 ","94109 / 54,768",94109,"54,768"
150,"$102,479 ","95125 / 54,696",95125,"54,696"
113,"$109,267 ","92129 / 54,664",92129,"54,664"
471,"$73,870 ","94591 / 54,530",94591,"54,530"
161,"$101,292 ","95051 / 54,406",95051,"54,406"
1343,"$39,206 ","90063 / 54,353",90063,"54,353"
1275,"$41,737 ","93308 / 54,132",93308,"54,132"
1008,"$51,060 ","91764 / 54,078",91764,"54,078"
772,"$59,302 ","92399 / 54,056",92399,"54,056"
830,"$57,052 ","92504 / 53,960",92504,"53,960"
1005,"$51,225 ","91801 / 53,792",91801,"53,792"
1235,"$42,753 ","90221 / 53,657",90221,"53,657"
1030,"$50,381 ","91406 / 53,528",91406,"53,528"
795,"$58,361 ","91304 / 53,517",91304,"53,517"
389,"$80,037 ","92870 / 53,474",92870,"53,474"
1383,"$38,162 ","91405 / 53,406",91405,"53,406"
597,"$67,019 ","92833 / 53,309",92833,"53,309"
631,"$65,319 ","92117 / 53,205",92117,"53,205"
423,"$77,247 ","91344 / 53,165",91344,"53,165"
878,"$55,656 ","95670 / 52,886",95670,"52,886"
669,"$63,728 ","92056 / 52,758",92056,"52,758"
1105,"$47,413 ","95116 / 52,597",95116,"52,597"
1347,"$39,060 ","92701 / 52,588",92701,"52,588"
1221,"$43,170 ","92234 / 52,534",92234,"52,534"
1007,"$51,105 ","91786 / 52,152",91786,"52,152"
736,"$60,655 ","92557 / 51,871",92557,"51,871"
1009,"$51,056 ","93277 / 51,849",93277,"51,849"
1048,"$49,552 ","92530 / 51,816",92530,"51,816"
1453,"$35,150 ","93304 / 51,607",93304,"51,607"
387,"$80,132 ","92626 / 51,575",92626,"51,575"
31,"$144,152 ","94539 / 51,459",94539,"51,459"
559,"$69,616 ","93003 / 51,454",93003,"51,454"
161,"$101,292 ","92656 / 51,370",92656,"51,370"
856,"$56,337 ","90046 / 51,329",90046,"51,329"
1313,"$40,461 ","95350 / 50,676",95350,"50,676"
558,"$69,678 ","95023 / 50,625",95023,"50,625"
317,"$85,200 ","93551 / 50,572",93551,"50,572"
46,"$131,166 ","92130 / 50,280",92130,"50,280"
1153,"$45,474 ","90220 / 50,222",90220,"50,222"
774,"$59,125 ","90024 / 50,117",90024,"50,117"
1557,"$30,214 ","90002 / 50,098",90002,"50,098"
257,"$90,613 ","90703 / 50,069",90703,"50,069"
1332,"$39,601 ","94601 / 49,990",94601,"49,990"
919,"$53,820 ","92026 / 49,981",92026,"49,981"
1415,"$36,890 ","93638 / 49,761",93638,"49,761"
1155,"$45,433 ","92025 / 49,734",92025,"49,734"
391,"$79,858 ","90638 / 49,543",90638,"49,543"
699,"$62,262 ","95376 / 49,398",95376,"49,398"
259,"$90,298 ","92128 / 49,264",92128,"49,264"
239,"$92,402 ","92024 / 49,226",92024,"49,226"
201,"$96,297 ","92064 / 49,079",92064,"49,079"
869,"$55,947 ","92505 / 49,064",92505,"49,064"
1057,"$49,206 ","91767 / 49,027",91767,"49,027"
156,"$102,045 ","92692 / 48,967",92692,"48,967"
433,"$76,669 ","94553 / 48,891",94553,"48,891"
536,"$70,820 ","95648 / 48,869",95648,"48,869"
1524,"$32,104 ","90018 / 48,852",90018,"48,852"
333,"$84,051 ","90630 / 48,844",90630,"48,844"
1369,"$38,563 ","95207 / 48,748",95207,"48,748"
725,"$60,959 ","91306 / 48,707",91306,"48,707"
688,"$62,677 ","92879 / 48,654",92879,"48,654"
110,"$110,054 ","92886 / 48,649",92886,"48,649"
1266,"$42,206 ","92243 / 48,615",92243,"48,615"
414,"$77,930 ","93611 / 48,597",93611,"48,597"
1600,"$27,190 ","90033 / 48,567",90033,"48,567"
516,"$71,668 ","94014 / 48,536",94014,"48,536"
126,"$106,660 ","95124 / 48,505",95124,"48,505"
1465,"$34,732 ","95351 / 48,437",95351,"48,437"
826,"$57,223 ","92028 / 48,335",92028,"48,335"
1029,"$50,401 ","92084 / 48,275",92084,"48,275"
224,"$93,713 ","92691 / 48,129",92691,"48,129"
1157,"$45,332 ","95616 / 48,106",95616,"48,106"
100,"$113,616 ","94568 / 48,097",94568,"48,097"
146,"$102,952 ","94550 / 48,050",94550,"48,050"
730,"$60,896 ","91748 / 47,859",91748,"47,859"
1620,"$26,031 ","93702 / 47,850",93702,"47,850"
1386,"$38,050 ","90016 / 47,786",90016,"47,786"
879,"$55,635 ","92111 / 47,590",92111,"47,590"
251,"$90,966 ","91765 / 47,562",91765,"47,562"
1602,"$27,120 ","92410 / 47,510",92410,"47,510"
1227,"$42,968 ","90247 / 47,374",90247,"47,374"
1161,"$45,208 ","90032 / 47,309",90032,"47,309"
1325,"$40,021 ","95240 / 47,297",95240,"47,297"
644,"$64,773 ","95843 / 47,172",95843,"47,172"
270,"$89,464 ","94303 / 47,159",94303,"47,159"
698,"$62,365 ","95060 / 47,148",95060,"47,148"
1268,"$42,084 ","92544 / 47,136",92544,"47,136"
955,"$52,457 ","92069 / 47,130",92069,"47,130"
170,"$100,215 ","94086 / 47,051",94086,"47,051"
1311,"$40,528 ","90047 / 46,999",90047,"46,999"
123,"$107,324 ","95148 / 46,993",95148,"46,993"
1060,"$49,088 ","91352 / 46,874",91352,"46,874"
209,"$95,435 ","95037 / 46,834",95037,"46,834"
645,"$64,738 ","92223 / 46,719",92223,"46,719"
310,"$85,857 ","92648 / 46,623",92648,"46,623"
836,"$56,885 ","95336 / 46,433",95336,"46,433"
440,"$75,928 ","92584 / 46,346",92584,"46,346"
949,"$52,794 ","90065 / 46,254",90065,"46,254"
349,"$82,675 ","92705 / 46,163",92705,"46,163"
427,"$77,092 ","93720 / 46,153",93720,"46,153"
619,"$66,057 ","91790 / 46,059",91790,"46,059"
1031,"$50,316 ","90027 / 46,025",90027,"46,025"
410,"$78,116 ","92506 / 45,993",92506,"45,993"
382,"$80,278 ","90620 / 45,992",90620,"45,992"
881,"$55,530 ","92078 / 45,926",92078,"45,926"
1411,"$37,082 ","90023 / 45,886",90023,"45,886"
648,"$64,660 ","94577 / 45,808",94577,"45,808"
1604,"$26,940 ","90057 / 45,747",90057,"45,747"
1117,"$46,655 ","92058 / 45,685",92058,"45,685"
320,"$84,828 ","94116 / 45,552",94116,"45,552"
428,"$77,047 ","90503 / 45,518",90503,"45,518"
273,"$88,987 ","95008 / 45,495",95008,"45,495"
1267,"$42,195 ","91606 / 45,467",91606,"45,467"
596,"$67,025 ","92109 / 45,304",92109,"45,304"
525,"$71,278 ","90025 / 45,284",90025,"45,284"
166,"$100,694 ","92688 / 45,074",92688,"45,074"
128,"$106,365 ","91320 / 44,958",91320,"44,958"
684,"$63,029 ","95403 / 44,918",95403,"44,918"
1280,"$41,575 ","92102 / 44,893",92102,"44,893"
287,"$87,782 ","95757 / 44,638",95757,"44,638"
522,"$71,307 ","92122 / 44,602",92122,"44,602"
1072,"$48,733 ","92104 / 44,590",92104,"44,590"
413,"$78,072 ","92867 / 44,569",92867,"44,569"
952,"$52,536 ","92843 / 44,468",92843,"44,468"
1122,"$46,497 ","96003 / 44,398",96003,"44,398"
289,"$87,720 ","93311 / 44,358",93311,"44,358"
464,"$74,797 ","92019 / 44,357",92019,"44,357"
639,"$64,974 ","93446 / 44,288",93446,"44,288"
627,"$65,701 ","93036 / 44,277",93036,"44,277"
247,"$91,617 ","91360 / 44,208",91360,"44,208"
155,"$102,160 ","92620 / 43,802",92620,"43,802"
1298,"$40,930 ","91733 / 43,790",91733,"43,790"
1646,"$22,646 ","90007 / 43,779",90007,"43,779"
996,"$51,365 ","92802 / 43,743",92802,"43,743"
325,"$84,741 ","91913 / 43,655",91913,"43,655"
642,"$64,803 ","93313 / 43,644",93313,"43,644"
303,"$86,521 ","94560 / 43,635",94560,"43,635"
154,"$102,212 ","92009 / 43,627",92009,"43,627"
865,"$56,059 ","90241 / 43,596",90241,"43,596"
1021,"$50,536 ","95610 / 43,572",95610,"43,572"
448,"$75,500 ","94546 / 43,448",94546,"43,448"
760,"$59,878 ","90501 / 43,407",90501,"43,407"
228,"$93,509 ","91789 / 43,369",91789,"43,369"
304,"$86,505 ","93010 / 43,234",93010,"43,234"
829,"$57,095 ","90242 / 43,199",90242,"43,199"
816,"$57,610 ","94605 / 43,168",94605,"43,168"
1198,"$43,785 ","90806 / 43,140",90806,"43,140"
1363,"$38,738 ","90043 / 43,118",90043,"43,118"
1300,"$40,897 ","92236 / 43,037",92236,"43,037"
1020,"$50,568 ","92054 / 42,992",92054,"42,992"
1183,"$44,392 ","95822 / 42,907",95822,"42,907"
819,"$57,484 ","94928 / 42,668",94928,"42,668"
142,"$103,333 ","94117 / 42,638",94117,"42,638"
1515,"$32,471 ","93726 / 42,618",93726,"42,618"
282,"$88,693 ","94531 / 42,587",94531,"42,587"
79,"$120,401 ","94566 / 42,523",94566,"42,523"
352,"$82,076 ","91387 / 42,518",91387,"42,518"
500,"$72,212 ","93455 / 42,513",93455,"42,513"
1365,"$38,709 ","92395 / 42,481",92395,"42,481"
1145,"$45,631 ","95307 / 42,470",95307,"42,470"
1486,"$33,678 ","90059 / 42,470",90059,"42,470"
75,"$120,742 ","90275 / 42,420",90275,"42,420"
643,"$64,787 ","92040 / 42,323",92040,"42,323"
503,"$72,168 ","91016 / 42,235",91016,"42,235"
87,"$118,125 ","94010 / 42,223",94010,"42,223"
608,"$66,706 ","90605 / 42,103",90605,"42,103"
367,"$81,369 ","94066 / 42,100",94066,"42,100"
841,"$56,738 ","93552 / 42,073",93552,"42,073"
547,"$70,220 ","94121 / 42,043",94121,"42,043"
425,"$77,152 ","91367 / 42,029",91367,"42,029"
431,"$76,909 ","94901 / 42,027",94901,"42,027"
685,"$62,969 ","95678 / 41,929",95678,"41,929"
64,"$123,459 ","92127 / 41,900",92127,"41,900"
293,"$87,500 ","95136 / 41,852",95136,"41,852"
572,"$68,679 ","95831 / 41,597",95831,"41,597"
985,"$51,827 ","95621 / 41,474",95621,"41,474"
499,"$72,218 ","95209 / 41,459",95209,"41,459"
412,"$78,082 ","90045 / 41,453",90045,"41,453"
191,"$98,026 ","95132 / 41,222",95132,"41,222"
1222,"$43,165 ","95991 / 41,212",95991,"41,212"
321,"$84,819 ","94521 / 41,138",94521,"41,138"
1320,"$40,119 ","92545 / 41,078",92545,"41,078"
1330,"$39,743 ","95380 / 41,069",95380,"41,069"
84,"$119,095 ","94025 / 40,945",94025,"40,945"
1050,"$49,541 ","94804 / 40,941",94804,"40,941"
611,"$66,590 ","92374 / 40,911",92374,"40,911"
134,"$104,934 ","90278 / 40,839",90278,"40,839"
429,"$76,994 ","91701 / 40,822",91701,"40,822"
1370,"$38,510 ","95210 / 40,820",95210,"40,820"
486,"$72,739 ","95628 / 40,767",95628,"40,767"
1172,"$44,629 ","90804 / 40,679",90804,"40,679"
923,"$53,652 ","95407 / 40,657",95407,"40,657"
88,"$117,700 ","95762 / 40,603",95762,"40,603"
392,"$79,525 ","90815 / 40,572",90815,"40,572"
122,"$107,493 ","95129 / 40,530",95129,"40,530"
1064,"$48,994 ","91401 / 40,503",91401,"40,503"
479,"$73,352 ","92555 / 40,419",92555,"40,419"
749,"$60,230 ","94134 / 40,343",94134,"40,343"
598,"$67,001 ","95404 / 40,253",95404,"40,253"
1451,"$35,253 ","90029 / 40,161",90029,"40,161"
345,"$82,993 ","94118 / 40,102",94118,"40,102"
1058,"$49,121 ","93637 / 40,101",93637,"40,101"
211,"$95,189 ","94403 / 40,032",94403,"40,032"
1214,"$43,345 ","92308 / 39,953",92308,"39,953"
196,"$96,824 ","90808 / 39,834",90808,"39,834"
1574,"$29,197 ","93706 / 39,794",93706,"39,794"
187,"$98,321 ","94551 / 39,775",94551,"39,775"
544,"$70,380 ","92591 / 39,767",92591,"39,767"
34,"$138,371 ","94582 / 39,721",94582,"39,721"
1464,"$34,733 ","92231 / 39,675",92231,"39,675"
687,"$62,828 ","92806 / 39,616",92806,"39,616"
628,"$65,640 ","90604 / 39,541",90604,"39,541"
1165,"$45,056 ","93635 / 39,439",93635,"39,439"
960,"$52,354 ","91942 / 39,438",91942,"39,438"
1467,"$34,656 ","90031 / 39,333",90031,"39,333"
210,"$95,306 ","92037 / 39,241",92037,"39,241"
1447,"$35,600 ","93534 / 39,120",93534,"39,120"
874,"$55,827 ","95833 / 39,117",95833,"39,117"
1409,"$37,121 ","90020 / 39,102",90020,"39,102"
376,"$80,449 ","95835 / 39,073",95835,"39,073"
998,"$51,341 ","93292 / 38,825",93292,"38,825"
755,"$60,100 ","95476 / 38,822",95476,"38,822"
1166,"$44,984 ","90802 / 38,816",90802,"38,816"
965,"$52,274 ","95695 / 38,790",95695,"38,790"
1109,"$47,202 ","91601 / 38,781",91601,"38,781"
1097,"$47,656 ","94520 / 38,743",94520,"38,743"
1545,"$31,214 ","90005 / 38,638",90005,"38,638"
1059,"$49,095 ","94578 / 38,629",94578,"38,629"
948,"$52,813 ","95401 / 38,604",95401,"38,604"
313,"$85,514 ","95121 / 38,603",95121,"38,603"
415,"$77,706 ","94561 / 38,481",94561,"38,481"
514,"$71,697 ","92253 / 38,462",92253,"38,462"
537,"$70,811 ","91104 / 38,421",91104,"38,421"
